arquivo,componentes_esperados,componentes_retornados,bleu_1,bleu_2,bleu_3,bleu_4,bleu_avg
componentes_aws_1.txt,7,9,0.23076923076923078,0.11020775375559676,0.07085221805391481,0.030901532587310255,0.11068268379151315
componentes_aws_2.txt,11,12,0.6285714285714286,0.47100821595360554,0.2412287669990072,0.14317123154555073,0.370994910767398
componentes_aws_3.txt,12,17,0.43333333333333335,0.3927305541151506,0.3021142829522088,0.20784358784763474,0.3340054395620819
componentes_aws_4.txt,5,8,0.4666666666666667,0.4207273395595698,0.37350638457327195,0.3255968746545406,0.39662431636351225
componentes_aws_5.txt,8,14,0.2857142857142857,0.2146693953705459,0.13404772765770026,0.0440854328121759,0.16962921038867695
componentes_azure_1.txt,4,10,0.3333333333333333,0.25819888974716115,0.18363347637365396,0.06497694444345234,0.2100356609744002
componentes_azure_2.txt,7,15,0.3166666666666666,0.2641477073522218,0.20671406787453556,0.13110815908488513,0.2296591502445773
componentes_azure_3.txt,7,17,0.3,0.23473823893078546,0.15389543639633183,0.09252039130087726,0.19528851665699865
componentes_azure_4.txt,14,14,0.6136363636363636,0.462665318148374,0.27674750574726203,0.1493276339326345,0.37559420536615856
componentes_azure_5.txt,9,14,0.5,0.4026936331284146,0.319584620662073,0.2711484136213612,0.3733566668529622
